x_value,y_value,z_value
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
-inf,inf,3.5
inf,inf,3.0
inf,inf,3.0
inf,inf,3.0
inf,inf,3.0
inf,inf,3.0
inf,inf,3.0
inf,inf,3.0
inf,inf,3.0
inf,inf,3.0
inf,inf,3.0
inf,inf,3.0
inf,inf,3.0
inf,inf,3.0
inf,inf,3.0
inf,inf,3.0
inf,inf,3.0
inf,inf,3.0
453.55551332834614,426.0197530033813,3.0
452.2092159706697,412.88604817228537,3.0
450.8409447062221,400.7886969762638,3.0
445.46200778025735,387.1865721905468,3.0
444.24395481485203,377.1000001421212,3.0
443.04437229118537,367.65494948321503,3.0
441.87436351553384,358.7662855211847,3.0
440.74360474153235,350.35886701495025,3.0
443.0450653919666,343.3922461930485,3.0
441.912030342867,335.5471130951611,3.0
440.84639838077914,328.01609053881924,3.0
439.85436921739256,320.7454359694146,3.0
438.9420339456013,313.684595908601,3.0
480.88549233735705,308.88633440753347,3.0
543.3412742614746,300.0,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
308.921141522311,297.2938013052152,3.0
308.58670313548623,296.92762849089365,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
379.99506003966803,106.87484112938358,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
-inf,-inf,3.0
